freq,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,RT,CH06	6.7 	7.0 	5.9 	5.6 	4.7 	4.6 	4.3 	4.6 	4.4 	4.0 	5.4 	4.8 	3.3 	4.1 	3.9 	5.1 	4.0 	3.0 	2.9 	3.1 	3.5 	3.8 	3.4 	2.8 	4.1 	3.7 	3.7 	2.7 	3.5 	3.9 	3.4 	2.2 	3.8 
A,RT,CH07	7.2 	8.6 	5.8 	5.4 	5.1 	4.2 	6.1 	5.6 	3.6 	4.4 	2.3 	3.7 	4.4 	2.2 	3.3 	3.6 	4.7 	4.6 	2.3 	4.8 	3.4 	2.4 	2.5 	1.8 	3.1 	4.1 	3.6 	2.9 	0.8 	2.4 	3.2 	1.6 	3.7 
A,RT,CY	: 	: 	: 	8.7 	8.6 	8.5 	8.5 	8.0 	7.0 	6.0 	5.6 	4.9 	4.7 	4.1 	3.5 	4.6 	3.1 	3.7 	3.5 	3.3 	3.2 	3.1 	3.5 	1.6 	2.1 	2.7 	2.6 	1.3 	2.4 	2.6 	2.1 	2.7 	3.1 
A,RT,CY0	: 	: 	: 	8.7 	8.6 	8.5 	8.5 	8.0 	7.0 	6.0 	5.6 	4.9 	4.7 	4.1 	3.5 	4.6 	3.1 	3.7 	3.5 	3.3 	3.2 	3.1 	3.5 	1.6 	2.1 	2.7 	2.6 	1.3 	2.4 	2.6 	2.1 	2.7 	3.1 
A,RT,CY00	: 	: 	: 	8.7 	8.6 	8.5 	8.5 	8.0 	7.0 	6.0 	5.6 	4.9 	4.7 	4.1 	3.5 	4.6 	3.1 	3.7 	3.5 	3.3 	3.2 	3.1 	3.5 	1.6 	2.1 	2.7 	2.6 	1.3 	2.4 	2.6 	2.1 	2.7 	3.1 
A,RT,CZ	10.8 	10.4 	9.9 	8.5 	7.9 	7.7 	6.0 	5.9 	5.2 	4.6 	4.1 	4.0 	4.1 	3.9 	3.7 	3.4 	3.3 	3.1 	2.8 	2.9 	2.7 	2.7 	2.6 	2.5 	2.4 	2.5 	2.8 	2.7 	2.6 	2.6 	2.3 	2.2 	2.3 
A,RT,CZ0	10.8 	10.4 	9.9 	8.5 	7.9 	7.7 	6.0 	5.9 	5.2 	4.6 	4.1 	4.0 	4.1 	3.9 	3.7 	3.4 	3.3 	3.1 	2.8 	2.9 	2.7 	2.7 	2.6 	2.5 	2.4 	2.5 	2.8 	2.7 	2.6 	2.6 	2.3 	2.2 	2.3 
A,RT,CZ01	: 	: 	10.0 	7.3 	6.7 	6.5 	4.3 	4.7 	4.9 	2.8 	2.3 	3.1 	3.9 	2.5 	3.1 	1.9 	2.6 	2.2 	1.5 	2.3 	2.7 	1.9 	1.6 	1.6 	1.1 	1.8 	2.0 	1.6 	2.0 	2.0 	1.8 	1.8 	1.4 
A,RT,CZ02	: 	: 	9.1 	8.7 	7.5 	5.8 	4.9 	5.7 	5.4 	5.5 	3.5 	3.2 	2.7 	3.1 	3.6 	2.8 	2.4 	2.5 	2.7 	2.9 	2.1 	2.2 	2.1 	1.6 	2.1 	2.3 	2.8 	2.0 	1.6 	2.0 	1.5 	1.5 	1.8 
A,RT,CZ03	: 	: 	10.5 	8.0 	7.7 	8.7 	6.5 	5.7 	4.7 	5.0 	4.3 	4.4 	4.0 	4.1 	3.3 	3.2 	2.6 	2.5 	2.7 	2.2 	2.9 	2.3 	2.7 	2.8 	2.1 	2.7 	2.9 	2.9 	2.4 	2.4 	2.3 	1.8 	2.5 
A,RT,CZ04	: 	: 	11.7 	9.8 	11.1 	11.0 	7.9 	8.4 	6.5 	6.3 	5.7 	6.1 	4.5 	6.9 	5.4 	6.6 	4.6 	5.4 	3.9 	4.0 	4.8 	5.0 	3.8 	2.9 	3.9 	4.2 	5.0 	4.6 	3.8 	3.8 	2.9 	3.1 	3.8 
A,RT,CZ05	: 	: 	10.0 	8.7 	8.2 	8.2 	5.8 	4.2 	4.8 	4.5 	3.9 	3.3 	4.8 	3.6 	4.2 	3.4 	3.1 	2.8 	3.1 	2.3 	2.1 	3.0 	3.0 	2.7 	2.3 	1.9 	2.5 	2.8 	2.8 	2.0 	2.8 	2.1 	2.4 
A,RT,CZ06	: 	: 	9.0 	7.5 	5.8 	5.6 	5.9 	5.3 	5.0 	4.2 	3.2 	3.3 	4.4 	3.5 	2.4 	3.1 	3.4 	3.9 	2.6 	2.5 	1.8 	2.5 	3.1 	2.0 	3.1 	1.9 	2.1 	2.1 	2.3 	2.3 	2.4 	2.3 	1.9 
A,RT,CZ07	: 	: 	9.9 	8.7 	8.0 	5.9 	5.5 	6.4 	4.8 	3.6 	4.2 	3.8 	3.4 	3.5 	4.1 	3.1 	3.9 	3.1 	2.3 	4.2 	2.8 	2.9 	2.5 	3.4 	2.9 	2.8 	2.5 	3.1 	2.8 	2.9 	1.9 	3.0 	2.4 
A,RT,CZ08	: 	: 	9.3 	9.2 	9.0 	10.0 	7.2 	6.8 	5.8 	5.3 	5.8 	4.9 	5.2 	4.2 	4.2 	3.2 	4.1 	2.7 	4.0 	3.1 	2.7 	2.5 	2.2 	3.3 	1.8 	2.7 	3.4 	3.1 	3.4 	3.9 	2.8 	2.3 	2.6 
A,RT,DE	8.8 	6.9 	6.2 	5.8 	5.6 	5.3 	5.0 	4.9 	4.7 	4.5 	4.4 	4.3 	4.2 	4.2 	4.1 	3.9 	3.8 	3.9 	3.5 	3.5 	3.4 	3.6 	3.3 	3.3 	3.2 	3.3 	3.4 	3.3 	3.2 	3.2 	3.1 	3.0 	3.2 
A,RT,DE1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.4 	3.4 	3.4 	3.3 	3.3 	2.9 	3.1 	3.2 	3.2 	3.3 	3.3 	3.0 	3.1 	2.9 	3.4 	3.4 	2.6 	3.0 	3.0 	2.9 	2.9 
A,RT,DE11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3 	3.5 	3.5 	3.2 	3.5 	3.5 	3.3 	2.9 	3.6 	3.3 	3.4 	2.7 	3.0 	3.4 	3.3 	3.1 	2.7 	3.1 	3.1 	3.0 	3.1 
A,RT,DE12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.7 	3.4 	3.4 	3.2 	3.3 	2.3 	3.0 	3.5 	2.9 	2.9 	3.5 	2.8 	3.0 	3.1 	3.4 	3.2 	2.8 	2.9 	3.1 	3.1 	2.7 
A,RT,DE13	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.0 	3.2 	3.8 	3.8 	3.4 	2.9 	3.2 	4.2 	2.9 	3.4 	2.7 	4.0 	3.6 	2.4 	4.1 	3.7 	2.4 	3.6 	3.0 	3.5 	3.0 
A,RT,DE14	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.9 	3.5 	2.8 	2.7 	2.6 	2.7 	2.8 	2.4 	3.1 	3.4 	3.5 	2.9 	2.6 	2.2 	3.1 	3.8 	2.5 	2.6 	2.7 	2.1 	2.9 
A,RT,DE2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.9 	3.8 	3.4 	3.5 	3.3 	3.8 	3.1 	3.2 	3.0 	3.1 	2.7 	2.7 	2.8 	2.8 	3.0 	2.6 	2.6 	2.9 	2.7 	2.6 	2.8 
A,RT,DE21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.4 	3.3 	2.9 	3.0 	3.0 	3.5 	3.1 	3.2 	2.7 	3.0 	2.3 	2.5 	2.4 	2.2 	2.6 	2.7 	2.3 	2.5 	2.6 	2.3 	2.3 
A,RT,DE22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 	4.0 	3.7 	3.9 	3.5 	3.4 	3.1 	2.4 	4.8 	4.8 	3.7 	3.8 	3.9 	4.1 	3.9 	2.5 	3.4 	3.8 	2.8 	3.1 	3.0 
A,RT,DE23	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.0 	4.3 	2.9 	4.2 	3.2 	3.1 	2.1 	3.4 	3.5 	2.9 	1.9 	2.2 	2.9 	2.8 	3.2 	2.7 	2.6 	3.0 	2.4 	2.2 	2.5 
A,RT,DE24	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3 	4.5 	3.6 	2.2 	3.9 	3.6 	2.9 	4.0 	3.9 	3.1 	3.6 	2.7 	2.7 	3.4 	3.7 	2.6 	3.5 	3.0 	3.1 	3.5 	4.2 
A,RT,DE25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.8 	3.8 	4.6 	5.4 	3.8 	4.9 	3.4 	3.9 	2.9 	2.7 	2.1 	2.7 	2.8 	2.8 	3.1 	2.7 	3.5 	2.8 	3.4 	3.1 	3.0 
A,RT,DE26	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	3.5 	4.1 	2.8 	3.8 	4.9 	3.2 	2.2 	2.8 	4.0 	3.4 	2.0 	3.1 	2.9 	3.8 	2.4 	2.1 	2.6 	2.7 	3.3 	2.8 
A,RT,DE27	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.9 	4.6 	3.1 	3.3 	3.0 	3.9 	3.5 	2.9 	2.4 	2.3 	3.0 	3.6 	2.9 	2.9 	2.6 	2.7 	1.9 	3.1 	2.3 	1.9 	2.9 
A,RT,DE3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3 	3.9 	3.9 	3.4 	3.6 	3.5 	3.4 	3.9 	3.0 	3.2 	2.5 	3.5 	2.8 	3.2 	3.5 	2.7 	3.6 	3.0 	2.8 	2.9 	2.8 
A,RT,DE30	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3 	3.9 	3.9 	3.4 	3.6 	3.5 	3.4 	3.9 	3.0 	3.2 	2.5 	3.5 	2.8 	3.2 	3.5 	2.7 	3.6 	3.0 	2.8 	2.9 	2.8 
